"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime_EST","shift","river","tagID","source","airTemp","cloud","precip","startTime_EST","endTime_EST","isoID","streamNotes","isoTime_EST","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain","totalDischarge","meanTemp","flowTime_EST"
"Pool","",NA,"Lightly shaded","Bunch of fish swimming around, moving too much to get a good signal","Woody_debris,Undercut_bank","Granule,Pebble,Sand",174,-72.5035161666667,42.6511446666667,"2024-08-05 11:06:00","day","DRY UPPER",49,"iPad",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,0.25,17.18,"2024-08-07 08:20:43"
"","",NA,"","Lost signal, signal was strongest (74) back at the clearing with the pine trees ","","",NA,-72.5035255,42.6537498333333,"2024-08-05 11:35:00","day","DRY UPPER",47,"iPad",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,0.25,17.18,"2024-08-07 08:20:43"
"","",NA,"","","","",54,-72.5036741666667,42.6540743333333,"2024-08-05 11:37:00","day","DRY UPPER",47,"iPad",60,"Cloudy","Weak rain","07:19","12:43","DRY202408071031EST","","10:31","42.6586929 degrees N, 72.5041623 degrees W",70,"42.6680512 degrees N, 72.5067974 degrees W",70,0.25,17.18,"2024-08-07 08:20:43"
"Riffle","Center",NA,"Mostly shaded","Same so as last week.","Woody_debris","Pebble,Rock",NA,-72.3263953333333,42.4453071666667,"2024-08-06 07:41:00","day","UNDERHILL",33,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Mostly shaded","","","Pebble,Granule",NA,-72.3277273333333,42.4451513333333,"2024-08-06 07:47:00","day","UNDERHILL",45,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Rock,Sand",NA,-72.3280273333333,42.4448818333333,"2024-08-06 07:53:00","day","UNDERHILL",44,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.3297248333333,42.4436301666667,"2024-08-06 08:02:00","day","UNDERHILL",35,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Fully shaded","","","Boulder,Sand",NA,-72.3296073333333,42.4436155,"2024-08-06 08:38:00","day","UNDERHILL",35,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Fully shaded","","Woody_debris","Rock,Granule,Sand",NA,-72.3277781666667,42.4447788333333,"2024-08-06 08:49:00","day","UNDERHILL",44,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
"Pool","Center",NA,"Fully shaded","","","Rock,Pebble,Sand",NA,-72.3277361666667,42.4452306666667,"2024-08-06 08:51:00","day","UNDERHILL",45,"iPad",72,"Cloudy","Weak rain","07:25","12:23","UNDH202408060810EST","Found a dead fish, cut it open to make sure it wasn’t a tagged fish and there wasn’t a dead tag inside (no tag found)","08:10","42.4442161 degrees N, 72.3234504 degrees W",70,"42.4459050 degrees N, 72.3317080 degrees W",70,0.04,20.53,"2024-08-06 08:06:36"
